CodeID,Rat,Phase,SpeciesID,Species,Sex,Precipitation,TempMax,TempMin,Season,Sunit,spPhase
3f2,F,bloat,HSD,Hemilucilia_semidiaphana,F,2.2,16.51333333,25,spring,bloatF,bloatHSD
3g1,G,bloat,LE,Lucilia_eximia,F,2.2,16.51333333,25,spring,bloatG,bloatLE
3g2,G,bloat,LE,Lucilia_eximia,F,2.2,16.51333333,25,spring,bloatG,bloatLE
3g3,G,bloat,CM,Cochliomya_macellaria,F,2.2,16.51333333,25,spring,bloatG,bloatCM
3g4,G,bloat,CHA,Chrysomya_albiceps,F,2.2,16.51333333,25,spring,bloatG,bloatCHA
3g5,G,bloat,CHA,Chrysomya_albiceps,F,2.2,16.51333333,25,spring,bloatG,bloatCHA
3g6,G,bloat,CHA,Chrysomya_albiceps,F,2.2,16.51333333,25,spring,bloatG,bloatCHA
3h1,H,bloat,CHP,Chrysomya_putoria,F,2.2,16.51333333,25,spring,bloatH,bloatCHP
3h2,H,bloat,HSD,Hemilucilia_semidiaphana,F,2.2,16.51333333,25,spring,bloatH,bloatHSD
3h3,H,bloat,HSD,Hemilucilia_semidiaphana,F,2.2,16.51333333,25,spring,bloatH,bloatHSD
3i2,I,bloat,CHA,Chrysomya_albiceps,F,2.4,19.31666667,23.12,summer,bloatI,bloatCHA
3k2,K,bloat,LE,Lucilia_eximia,M,2.4,19.31666667,23.12,summer,bloatK,bloatLE
3k3,K,bloat,LE,Lucilia_eximia,F,2.4,19.31666667,23.12,summer,bloatK,bloatLE
3l1,L,bloat,CHM,Chrysomya_megacephala,F,2.4,19.31666667,23.12,summer,bloatL,bloatCHM
3l3,L,bloat,SC,Sarconesia,F,2.4,19.31666667,23.12,summer,bloatL,bloatSC
3m1,M,bloat,CHM,Chrysomya_megacephala,F,2.4,19.31666667,23.12,summer,bloatM,bloatCHM
3m12,M,bloat,CHA,Chrysomya_albiceps,F,2.4,19.31666667,23.12,summer,bloatM,bloatCHA
3m13,M,bloat,CHA,Chrysomya_albiceps,F,2.4,19.31666667,23.12,summer,bloatM,bloatCHA
3m2,M,bloat,CHM,Chrysomya_megacephala,F,2.4,19.31666667,23.12,summer,bloatM,bloatCHM
3m29,M,bloat,CHA,Chrysomya_albiceps,F,2.4,19.31666667,23.12,summer,bloatM,bloatCHA
3n1,N,bloat,LE,Lucilia_eximia,F,2.184615385,18.13076923,23.32,fall,bloatN,bloatLE
3n3,N,bloat,LE,Lucilia_eximia,F,2.184615385,18.13076923,23.32,fall,bloatN,bloatLE
3n5,N,bloat,CHA,Chrysomya_albiceps,F,2.184615385,18.13076923,23.32,fall,bloatN,bloatCHA
3n6,N,bloat,CHA,Chrysomya_albiceps,F,2.184615385,18.13076923,23.32,fall,bloatN,bloatCHA
3o1,O,bloat,HSG,Hemilucilia_segmentaria,F,2.184615385,18.13076923,23.32,fall,bloatO,bloatHSG
3o2,O,bloat,PX,Paralucilia_xantho,F,2.184615385,18.13076923,23.32,fall,bloatO,bloatPX
3o3,O,bloat,CHA,Chrysomya_albiceps,F,2.184615385,18.13076923,23.32,fall,bloatO,bloatCHA
3o4,O,bloat,CHA,Chrysomya_albiceps,F,2.184615385,18.13076923,23.32,fall,bloatO,bloatCHA
3o5,O,bloat,LE,Lucilia_eximia,F,2.184615385,18.13076923,23.32,fall,bloatO,bloatLE
3o6,O,bloat,LE,Lucilia_eximia,F,2.184615385,18.13076923,23.32,fall,bloatO,bloatLE
3o7,O,bloat,LE,Lucilia_eximia,F,2.184615385,18.13076923,23.32,fall,bloatO,bloatLE
3p1,P,bloat,CM,Cochliomya_macellaria,F,2.184615385,18.13076923,23.32,fall,bloatP,bloatCM
3p2,P,bloat,CHA,Chrysomya_albiceps,F,2.184615385,18.13076923,23.32,fall,bloatP,bloatCHA
3p4,P,bloat,LE,Lucilia_eximia,F,2.184615385,18.13076923,23.32,fall,bloatP,bloatLE
3p5,P,bloat,LE,Lucilia_eximia,F,2.184615385,18.13076923,23.32,fall,bloatP,bloatLE
3r1,R,bloat,CHA,Chrysomya_albiceps,F,2.184615385,18.13076923,23.32,fall,bloatR,bloatCHA
3r2,R,bloat,CHA,Chrysomya_albiceps,F,2.184615385,18.13076923,23.32,fall,bloatR,bloatCHA
3r3,R,bloat,CHA,Chrysomya_albiceps,F,2.184615385,18.13076923,23.32,fall,bloatR,bloatCHA
3r4,R,bloat,LE,Lucilia_eximia,F,2.184615385,18.13076923,23.32,fall,bloatR,bloatLE
3r5,R,bloat,LE,Lucilia_eximia,F,2.184615385,18.13076923,23.32,fall,bloatR,bloatLE
4i1,I,active decay,CHA,Chrysomya_albiceps,F,3.444444444,16.94444444,23.96,summer,active decayI,active decayCHA
4i2,I,active decay,CHA,Chrysomya_albiceps,F,3.444444444,16.94444444,23.96,summer,active decayI,active decayCHA
4i3,I,active decay,CHA,Chrysomya_albiceps,M,3.444444444,16.94444444,23.96,summer,active decayI,active decayCHA
4i4,I,active decay,LE,Lucilia_eximia,F,3.444444444,16.94444444,23.96,summer,active decayI,active decayLE
4i5,I,active decay,LE,Lucilia_eximia,M,3.444444444,16.94444444,23.96,summer,active decayI,active decayLE
4i6,I,active decay,HSD,Hemilucilia_semidiaphana,F,3.444444444,16.94444444,23.96,summer,active decayI,active decayHSD
4i9,I,active decay,HSD,Hemilucilia_semidiaphana,M,3.444444444,16.94444444,23.96,summer,active decayI,active decayHSD
4k1,K,active decay,CHA,Chrysomya_albiceps,M,3.444444444,16.94444444,23.96,summer,active decayK,active decayCHA
4k2,K,active decay,HSD,Hemilucilia_semidiaphana,F,3.444444444,16.94444444,23.96,summer,active decayK,active decayHSD
4l2,L,active decay,CHA,Chrysomya_albiceps,F,3.444444444,16.94444444,23.96,summer,active decayL,active decayCHA
4l21,L,active decay,CHM,Chrysomya_megacephala,M,3.444444444,16.94444444,23.96,summer,active decayL,active decayCHM
4l22,L,active decay,CHM,Chrysomya_megacephala,F,3.444444444,16.94444444,23.96,summer,active decayL,active decayCHM
4l4,L,active decay,CHA,Chrysomya_albiceps,F,3.444444444,16.94444444,23.96,summer,active decayL,active decayCHA
4l5,L,active decay,CHA,Chrysomya_albiceps,F,3.444444444,16.94444444,23.96,summer,active decayL,active decayCHA
4m4,M,active decay,CHA,Chrysomya_albiceps,F,3.444444444,16.94444444,23.96,summer,active decayM,active decayCHA
4m6,M,active decay,CHA,Chrysomya_albiceps,F,3.444444444,16.94444444,23.96,summer,active decayM,active decayCHA
4m7,M,active decay,CHA,Chrysomya_albiceps,F,3.444444444,16.94444444,23.96,summer,active decayM,active decayCHA
3r6,R,bloat,LE,Lucilia_eximia,F,2.184615385,18.13076923,23.32,fall,bloatR,bloatLE
4n2,N,bloat,LE,Lucilia_eximia,F,15.44,15.1,19.48,fall,bloatN,bloatLE
4p1,P,bloat,LE,Lucilia_eximia,F,15.44,15.1,19.48,fall,bloatP,bloatLE
4p2,P,bloat,LE,Lucilia_eximia,F,15.44,15.1,19.48,fall,bloatP,bloatLE
4p3,P,bloat,LE,Lucilia_eximia,F,15.44,15.1,19.48,fall,bloatP,bloatLE
4r1,R,active decay,CHA,Chrysomya_albiceps,F,15.44,15.1,19.48,fall,active decayR,active decayCHA
5g1,G,active decay,CHA,Chrysomya_albiceps,F,5.171428571,20.14285714,27.24,spring,active decayG,active decayCHA
5g2,G,active decay,CHA,Chrysomya_albiceps,F,5.171428571,20.14285714,27.24,spring,active decayG,active decayCHA
5g3,G,active decay,CHA,Chrysomya_albiceps,F,5.171428571,20.14285714,27.24,spring,active decayG,active decayCHA
5g6,G,active decay,CHM,Chrysomya_megacephala,F,5.171428571,20.14285714,27.24,spring,active decayG,active decayCHM
5g7,G,active decay,CHM,Chrysomya_megacephala,M,5.171428571,20.14285714,27.24,spring,active decayG,active decayCHM
5h1,H,active decay,CHA,Chrysomya_albiceps,F,5.171428571,20.14285714,27.24,spring,active decayH,active decayCHA
5h3,H,active decay,CHA,Chrysomya_albiceps,F,5.171428571,20.14285714,27.24,spring,active decayH,active decayCHA
5h4,H,active decay,CHA,Chrysomya_albiceps,M,5.171428571,20.14285714,27.24,spring,active decayH,active decayCHA
5h5,H,active decay,CHM,Chrysomya_megacephala,F,5.171428571,20.14285714,27.24,spring,active decayH,active decayCHM
5i1,I,active decay,CHA,Chrysomya_albiceps,F,6.36,19.68,25.84,summer,active decayI,active decayCHA
5k1,K,active decay,CHP,Chrysomya_putoria,F,6.36,19.68,25.84,summer,active decayK,active decayCHP
5m1,M,active decay,CHA,Chrysomya_albiceps,F,6.36,19.68,25.84,summer,active decayM,active decayCHA
5m2,M,active decay,CHA,Chrysomya_albiceps,F,6.36,19.68,25.84,summer,active decayM,active decayCHA
5m3,M,active decay,CHA,Chrysomya_albiceps,F,6.36,19.68,25.84,summer,active decayM,active decayCHA
4r2,R,active decay,CHA,Chrysomya_albiceps,F,15.44,15.1,19.48,fall,active decayR,active decayCHA
4r4,R,active decay,LE,Lucilia_eximia,F,15.44,15.1,19.48,fall,active decayR,active decayLE
5n1,N,active decay,LE,Lucilia_eximia,M,2.511111111,13.96666667,18.52,fall,active decayN,active decayLE
5n2,N,active decay,CHA,Chrysomya_albiceps,F,2.511111111,13.96666667,18.52,fall,active decayN,active decayCHA
5p2,P,active decay,HSG,Hemilucilia_segmentaria,M,2.511111111,13.96666667,18.52,fall,active decayP,active decayHSG
5r2,R,active decay,LE,Lucilia_eximia,F,2.511111111,13.96666667,18.52,fall,active decayR,active decayLE
5r3,R,active decay,LE,Lucilia_eximia,F,2.511111111,13.96666667,18.52,fall,active decayR,active decayLE
6a1,A,bloat,LE,Lucilia_eximia,F,3.371428571,10.05714286,15.72,winter,bloatA,bloatLE
6a2,A,bloat,LE,Lucilia_eximia,F,3.371428571,10.05714286,15.72,winter,bloatA,bloatLE
6a3,A,bloat,LE,Lucilia_eximia,F,3.371428571,10.05714286,15.72,winter,bloatA,bloatLE
6b1,B,bloat,LE,Lucilia_eximia,F,3.371428571,10.05714286,15.72,winter,bloatB,bloatLE
6b2,B,bloat,LE,Lucilia_eximia,F,3.371428571,10.05714286,15.72,winter,bloatB,bloatLE
6b3,B,bloat,LE,Lucilia_eximia,F,3.371428571,10.05714286,15.72,winter,bloatB,bloatLE
6c1,C,bloat,LE,Lucilia_eximia,F,3.371428571,10.05714286,15.72,winter,bloatC,bloatLE
6c3,C,bloat,LE,Lucilia_eximia,F,3.371428571,10.05714286,15.72,winter,bloatC,bloatLE
6d1,D,bloat,SC,Sarconesia,F,3.371428571,10.05714286,15.72,winter,bloatD,bloatSC
6d2,D,bloat,CL,Calliphora_lopesi,F,3.371428571,10.05714286,15.72,winter,bloatD,bloatCL
6d3,D,bloat,CL,Calliphora_lopesi,F,3.371428571,10.05714286,15.72,winter,bloatD,bloatCL
6d4,D,bloat,LE,Lucilia_eximia,F,3.371428571,10.05714286,15.72,winter,bloatD,bloatLE
6d6,D,bloat,LE,Lucilia_eximia,F,3.371428571,10.05714286,15.72,winter,bloatD,bloatLE
